OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bis viv,Bot lun,Cam rot,Car big,Car Cap,Car fla,Car nor,Car pil,Car vag,Cer alp,Cer fon ,Des ces,Emp her,Epi ana,Eup str,Fes ovi,Fes rub,Fes viv,Gen niv,Gram sp,Hie pil,Hie vul,Jun com,Kob sim,Leo aut,Lot cor,Luz mul ,Nar stri,Oma sup,Par pal,Par pal,Phle alp,Pin vul,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr nor,Rum ac-la,Ran acr,Rum ace,Sag,Sal her,Saus alp,Sax aiz ,Sel sel,Sib,Sil aca,Sol vir,Tarax,Tha alp,Tri rep,Vac myr,Ver alp,Ver fru,Ver off,Vio bif,Vio pal,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,12,2009,15-Aug,Presence,W,,,,,1,,,,1,,,,,,,,,,,1,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,0,0,0,30,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,13,2009,15-Aug,Presence,W,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,15,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,14,2009,15-Aug,Presence,W,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,F,,,,,1,,,,,,,,1,5,0,0,0,20,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,15,2009,15-Aug,Presence,W,,1,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,40,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,16,2009,15-Aug,Presence,W,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,15,0,0,0,10,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,17,2009,15-Aug,Presence,W,,1,,,1,,,,1,,1,,,,,,,,,,,,S,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,3,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,18,2009,15-Aug,Presence,W,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,15,0,0,0,10,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,19,2009,15-Aug,Presence,W,,,,,F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,F,,,,,1,,,,,,,1,,3,0,0,0,40,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,20,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,0,0,80,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,21,2009,15-Aug,Presence,W,,,,,1,,,,1,,1,,F,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,10,0,0,0,40,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,22,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,0,0,0,30,0,0,,,,,,
